Party_English,Paty_OwnLanguage,Abbreviation,country_names,source_file,source_sheet,source_row
The Left,Die Linke,Left,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,224
Free Voters,Freie Wähler,FW,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,225
Volt Germany,Volt Deutschland,Volt,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,226
Die PARTEI,Die PARTEI,Die PARTEI,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,227
Human Environment Animal Protection,Mensch Umwelt Tierschutz,Tierschutzpartei,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,228
Ecological Democratic Party,Ökologisch-Demokratische Partei,ÖDP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,229
Family Party of Germany,Familien-Partei Deutschlands,FPD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,230
Party of Progress,Partei des Fortschritts,PDF,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,231
Pirate Party Germany,Piratenpartei Deutschland,Pirates,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,232
Action Party for Animal Welfare,Aktionspartei für Tierschutz,APT,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,233
Bündnis Deutschland,Bündnis Deutschland,BD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,234
Democratic Alliance for Diversity and Awakening,Demokratische Allianz für Vielfalt und Erwachen,DAV,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,235
MERA25 – United for European Independence,MERA25 – Gemeinsam für Europäische Unabhängigkeit,MERA25,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,236
Voice of the Last Generation,Stimme der Letzten Generation,VLG,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,237
Grassroots Democratic Party of Germany,Basisdemokratische Partei Deutschland,dieBasis,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,238
Party of Humanists,Partei der Humanisten,PdH,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,239
Alliance C – Christians for Germany,Bündnis C – Christen für Deutschland,AC,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,240
V-Partei³,V-Partei³,V-Partei³,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,241
Human World,Menschliche Welt,MW,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,242
The Homeland,Die Heimat,DH,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,243
Klimaliste Deutschland,Klimaliste Deutschland,KL,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,244
Alliance for Innovation and Justice,Allianz für Innovation und Gerechtigkeit,BIG,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,245
Party of Reason,Partei der Vernunft,PdV,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,246
Citizens for Justice Action,Bürger für Gerechtigkeitsaktion,BGA,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,247
Party for Biomedical Rejuvenation Research,Partei für Biomedizinische Verjüngungsforschung,PBRR,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,248
German Communist Party,Deutsche Kommunistische Partei,DKP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,249
Marxist–Leninist Party of Germany,Marxistisch-Leninistische Partei Deutschlands,MLPD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,250
"Socialist Equality Party, Fourth International","Sozialistische Gleichheitspartei, Vierte Internationale",SGP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,251
Christian Democratic Union,Christlich Demokratische Union Deutschlands,CDU,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,252
Alliance 90,Bündnis 90/Die Grünen,Greens,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,253
Social Democratic Party,Sozialdemokratische Partei Deutschlands,SPD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,254
Alternative for Germany,Alternative für Deutschland,AfD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,255
Christian Social Union,Christlich-Soziale Union,CSU,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,256
The Left,Die Linke,Left,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,257
Free Democratic Party,Freie Demokratische Partei,FDP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,258
Die PARTEI,Die PARTEI,Die PARTEI,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,259
Free Voters,Freie Wähler,FW,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,260
Human Environment Animal Protection,Mensch Umwelt Tierschutz,Tierschutzpartei,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,261
Ecological Democratic Party,Ökologisch-Demokratische Partei,ÖDP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,262
Family Party,Familien-Partei Deutschlands,FPD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,263
Volt Germany,Volt Deutschland,Volt,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,264
Pirate Party Germany,Piratenpartei Deutschland,Pirates,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,265
Democracy in Europe Movement 2025,Demokratie in Europa Bewegung 2025,DiEM25,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,266
National Democratic Party,Nationaldemokratische Partei Deutschlands,NPD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,267
Action Party for Animal Protection,Aktionspartei für Tierschutz,APT,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,268
Party for the Animals,Partei für die Tiere,PFT,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,269
Bavaria Party,Bayernpartei,BP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,270
Grey Panthers,Graue Panther,GP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,271
The Greys,Die Grauen,DG,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,272
Party for Health Research,Partei für Gesundheitsforschung,PFG,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,273
Alliance for Innovation and Justice,Allianz für Innovation und Gerechtigkeit,BIG,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,274
"Alliance for Human Rights, Animal and Nature Protection","Allianz für Menschenrechte, Tier- und Naturschutz",AMTN,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,275
Alliance C – Christians for Germany,Bündnis C – Christen für Deutschland,AC,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,276
Party of Humanists,Partei der Humanisten,PdH,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,277
From now on... Democracy by Referendum,Ab jetzt... Demokratie durch Volksabstimmung,AbJ,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,278
Feminist Party,Feministische Partei,FP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,279
Liberal Conservative Reformers,Liberal-Konservative Reformer,LKR,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,280
Basic Income Alliance,Bündnis Grundeinkommen,BGE,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,281
Ecological Left,Ökologische Linke,ÖkoLin,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,282
Human World,Menschliche Welt,MW,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,283
European Party Love,Europäische Partei Liebe,EPL,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,284
The Violets,Die Violetten,DV,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,285
Democracy Direct,Demokratie Direkt,DD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,286
The Right,Die Rechte,DR,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,287
German Communist Party,Deutsche Kommunistische Partei,DKP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,288
Marxist–Leninist Party,Marxistisch-Leninistische Partei Deutschlands,MLPD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,289
New Liberals,Neue Liberale,NL,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,290
Third Way,Der III. Weg,D3W,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,291
Socialist Equality Party,Sozialistische Gleichheitspartei,SGP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,292
Fidesz–KDNP,Fidesz – Magyar Polgári Szövetség–Kereszténydemokrata Néppárt,Fidesz–KDNP,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,293
Respect and Freedom Party,Tisztelet és Szabadság Pártja,TISZA,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,294
DK–MSZP–Dialogue Alliance,Demokratikus Koalíció–Magyar Szocialista Párt–Párbeszéd,DK–MSZP–P,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,295
Our Homeland Movement,Mi Hazánk Mozgalom,Mi Hazánk,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,296
Momentum Movement,Momentum Mozgalom,Momentum,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,297
Hungarian Two-Tailed Dog Party,Magyar Kétfarkú Kutya Párt,MKKP,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,298
Jobbik – Conservatives,Jobbik – Konzervatívok,Jobbik,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,299
LMP – Hungary's Green Party,Lehet Más a Politika – Magyarország Zöld Pártja,LMP,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,300
Second Reform Era Party,Második Reformkor Párt,2RP,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,301
Everybody's Hungary People's Party,Mindenki Magyarországa Néppárt,MMM,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,302
Solution Movement,Megoldás Mozgalom,Solution,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,303
Fidesz–KDNP,Fidesz – Magyar Polgári Szövetség–Kereszténydemokrata Néppárt,Fidesz–KDNP,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,304
Democratic Coalition,Demokratikus Koalíció,DK,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,305
Momentum Movement,Momentum Mozgalom,Momentum,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,306
Hungarian Socialist Party+Dialogue for Hungary,Magyar Szocialista Párt+Párbeszéd,MSZP–P,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,307
Jobbik,Jobbik,Jobbik,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,308
Our Homeland Movement,Mi Hazánk Mozgalom,Mi Hazánk,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,309
Hungarian Two Tailed Dog Party,Magyar Kétfarkú Kutya Párt,MKKP,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,310
Politics Can Be Different,Lehet Más a Politika,LMP,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,311
Hungarian Workers' Party,Magyar Munkáspárt,Munkáspárt,Hungary,party_names_merged 4(1) (2).xlsx,Sheet1,312
Civic Platform,Platforma Obywatelska,PO,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,313
Polish Initiative,Inicjatywa Polska,IPL,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,314
The Greens,Zieloni,Greens,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,315
Modern,Nowoczesna,.N,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,316
Independents - Civic Coalition,Niezależni - Koalicja Obywatelska,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,317
Law and Justice,Prawo i Sprawiedliwość,PiS,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,318
Sovereign Poland,Suwerenna Polska,SP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,319
Independents - United Right,Niezależni - Zjednoczona Prawica,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,320
Confederation,Konfederacja,Konfederacja,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,321
New Hope,Nowa Nadzieja,New Hope,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,322
Confederation of the Polish Crown,Konfederacja Korony Polskiej,KKP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,323
National Movement,Ruch Narodowy,RN,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,324
Real Europe Movement – Europa Christi,Ruch Prawdziwej Europy – Europa Christi,RPE-EC,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,325
Wolnościowcy,Wolnościowcy,Wolnościowcy,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,326
There is One Poland,Jest Jedna Polska,JJP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,327
Independents - Confederation,Niezależni - Konfederacja,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,328
Polish People's Party,Polskie Stronnictwo Ludowe,PSL,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,329
Poland 2050,Polska 2050,PL2050,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,330
Union of European Democrats,Unia Europejskich Demokratów,UED,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,331
Centre for Poland,Centrum dla Polski,CDP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,332
Wolnościowcy,Wolnościowcy,Wolnościowcy,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,333
Silesian Regional Party,Śląska Partia Regionalna,ŚPR,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,334
Independents - Third way,Niezależni - Trzecia Droga,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,335
New Left,Nowa Lewica,New Left,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,336
Left Together,Lewica Razem,Left Together,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,337
Labour Union,Unia Pracy,UP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,338
Independents - The Left,Niezależni - Lewica,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,339
KORWiN,KORWiN,KORWiN,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,340
Bezpartyjni Samorządowcy,Bezpartyjni Samorządowcy,BS,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,341
Nonpartisans,Bezpartyjni,Nonpartisans,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,342
Social Alternative,Alternatywa Społeczna,AS,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,343
New Democracy - Yes,Nowa Demokracja - Tak,ND-Tak,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,344
Independents - Bezpartyjni Samorządowcy,Niezależni - Bezpartyjni Samorządowcy,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,345
Congress of the New Right,Kongres Nowej Prawicy,KNP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,346
PolEXIT,PolEXIT,PolEXIT,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,347
Federation for the Republic,Federacja dla Rzeczypospolitej,FdR,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,348
There is One Poland*,Jest Jedna Polska*,JJP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,349
Independents - PolEXIT,Niezależni - PolEXIT,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,350
Normal Country,Normalny Kraj,NK,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,351
Silesians Together,Ślązacy Razem,ŚR,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,352
New Hope*,Nowa Nadzieja*,New Hope,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,353
Independents - Normal Country,Niezależni - Normalny Kraj,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,354
Liberal Poland – Entrepreneurs' Strike,Liberalna Polska – Strajk Przedsiębiorców,LP-SP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,355
Independents - Liberal Poland – Entrepreneurs' Strike,Niezależni - Liberalna Polska – Strajk Przedsiębiorców,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,356
Self-Defence,Samoobrona,Self-Defence,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,357
Repair Poland Movement,Ruch Naprawy Polski,RNP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,358
Independents - Repair Poland Movement,Niezależni - Ruch Naprawy Polski,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,359
Independents,Niezależni,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,360
Law and Justice,Prawo i Sprawiedliwość,PiS,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,361
Solidary Poland,Solidarna Polska,SP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,362
Agreement,Porozumienie,Agreement,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,363
Independents - United Right,Niezależni - Zjednoczona Prawica,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,364
Civic Platform,Platforma Obywatelska,PO,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,365
Democratic Left Alliance,Sojusz Lewicy Demokratycznej,SLD,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,366
Polish People's Party,Polskie Stronnictwo Ludowe,PSL,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,367
The Greens,Zieloni,Greens,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,368
Modern,Nowoczesna,.N,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,369
Union of European Democrats,Unia Europejskich Demokratów,UED,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,370
Feminist Initiative,Inicjatywa Feministyczna,IF,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,371
Social Democracy of Poland,Socjaldemokracja Polska,SDPL,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,372
Independents - European Coalition,Niezależni - Koalicja Europejska,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,373
Spring,Wiosna,Spring,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,374
Liberal-Socials,Liberałowie-Socjaliści,Liberal-Socials,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,375
Edward Gierek's Economic Revival Movement,Ruch Odbudowy Gospodarczej Edwarda Gierka,ROGEG,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,376
Independents - Spring,Niezależni - Wiosna,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,377
National Movement,Ruch Narodowy,RN,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,378
Party of Drivers,Partia Kierowców,Party of Drivers,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,379
Independents - Confederation,Niezależni - Konfederacja,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,380
Right Wing of the Republic,Prawica Rzeczypospolitej,Prawica,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,381
Real Politics Union,Unia Polityki Realnej,UPR,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,382
Silesians Together,Ślązacy Razem,ŚR,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,383
Direct Democracy,Demokracja Bezpośrednia,DB,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,384
Independents - Kukiz'15,Niezależni - Kukiz'15,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,385
Together,Razem,Together,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,386
Social Justice Movement,Ruch Sprawiedliwości Społecznej,RSS,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,387
Labour Union,Unia Pracy,UP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,388
Independents - Left Together,Niezależni - Lewica Razem,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,389
Silesians Together,Ślązacy Razem,ŚR,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,390
Independents - Poland Fair Play,Niezależni - Polska Fair Play,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,391
Congress of the New Right,Kongres Nowej Prawicy,KNP,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,392
Independents - PolEXIT - Coalition,Niezależni - PolEXIT - Koalicja,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,393
Unity of the Nation,Jedność Narodu,Unity of the Nation,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,394
Independents - Unity of the Nation,Niezależni - Jedność Narodu,Independents,Poland,party_names_merged 4(1) (2).xlsx,Sheet1,395
Socialist Party,Partido Socialista,PS,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,396
Democratic Alliance,Aliança Democrática,AD,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,397
CHEGA!,CHEGA!,CH,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,398
Liberal Initiative,Iniciativa Liberal,IL,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,399
Left Bloc,Bloco de Esquerda,BE,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,400
Unitary Democratic Coalition,Coligação Democrática Unitária,CDU,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,401
LIVRE,LIVRE,L,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,402
National Democratic Alternative,Alternativa Democrática Nacional,ADN,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,403
People–Animals–Nature,Pessoas–Animais–Natureza,PAN,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,404
Volt Portugal,Volt Portugal,VP,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,405
Rise Up,Ergue-te,E,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,406
"React, Include, Recycle","Reagir, Incluir, Reciclar",RIR,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,407
New Right,Nova Direita,ND,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,408
Socialist Alternative Movement,Movimento Alternativa Socialista,MAS,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,409
Earth Party,Partido da Terra,MPT,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,410
Portuguese Labour Party,Partido Trabalhista Português,PTP,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,411
"We, the Citizens!","Nós, Cidadãos!",NC,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,412
Socialist Party,Partido Socialista,PS,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,413
Social Democratic Party,Partido Social Democrata,PSD,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,414
Left Bloc,Bloco de Esquerda,BE,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,415
Unitary Democratic Coalition,Coligação Democrática Unitária,CDU,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,416
CDS - People's Party,CDS - Partido Popular,CDS-PP,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,417
People–Animals–Nature,Pessoas–Animais–Natureza,PAN,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,418
Alliance,Aliança,A,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,419
LIVRE,LIVRE,L,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,420
Basta!,Basta!,B,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,421
Blue-and-Black Movement,Sinimusta liike,Sinimusta liike,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,422
"We, the Citizens!","Nós, Cidadãos!",NC,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,423
Liberal Initiative,Iniciativa Liberal,IL,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,424
Workers' Communist Party,Partido Comunista dos Trabalhadores,PCTP/MRPP,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,425
National Renovator Party,Partido Nacional Renovador,PNR,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,426
Democratic Republican Party,Partido Democrático Republicano,PDR,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,427
United Party of Retirees and Pensioners,Partido Unido dos Reformados e Pensionistas,PURP,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,428
Portuguese Labour Party,Partido Trabalhista Português,PTP,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,429
Socialist Alternative Movement,Movimento Alternativa Socialista,MAS,Portugal,party_names_merged 4(1) (2).xlsx,Sheet1,430
People's Party,Partido Popular,PP,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,431
Spanish Socialist Workers' Party,Partido Socialista Obrero Español,PSOE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,432
Vox,Vox,Vox,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,433
Republics Now,Esquerra Republicana de Catalunya–EH Bildu–BNG–Ara Més,ERC–EH Bildu–BNG–Ara Més,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,434
Unite,Sumar,Sumar,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,435
The Party Is Over,Se Acabó La Fiesta,Se Acabó,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,436
We Can,Podemos,Podemos,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,437
Together and Free for Europe,Junts per Catalunya – Junts EU,Junts UE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,438
Coalition for a Solidary Europe,Coalición por una Europa Solidaria,CEUS,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,439
Animalist Party with the Environment,Partido Animalista Contra el Maltrato Animal,PACMA,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,440
Citizens–Party of the Citizenry,Ciudadanos–Partido de la Ciudadanía,Cs,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,441
Workers' Front,Frente Obrero,FO,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,442
The Forgotten Spain Exists–Municipalists–Fair World,España Vaciada–Municipalistas–Mundo Justo,Existe,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,443
Spanish Left,Izquierda Española,IzqEsp,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,444
Feminists to the Congress,Feministas al Congreso,PFAC,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,445
European Justice,Justicia Europea,IE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,446
Andalusia Now,Andalucía Ahora,Andalucistas,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,447
Volt Spain,Volt España,Volt,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,448
Blank Seats to Leave Empty Seats,Escaños en Blanco,EB,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,449
Communist Party of the Workers of Spain,Partido Comunista de los Trabajadores de España,PCTE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,450
Pirates–Rebel Alliance–European Pirates,Piratas–Alianza Rebelde–Piratas Europeos,Pirates/Rebeldes,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,451
PCPE–PCPC Coalition,Coalición PCPE–PCPC,PCPE–PCPC,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,452
Spanish Phalanx of the CNSO,Falange Española de las JONS,FE–JONS,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,453
Spanish Food Sovereignty,Soberanía Alimentaria Española,SAE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,454
Believe in Europe,Cree en Europa,Cree en Europa,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,455
Zero Cuts,Recortes Cero,Recortes Cero,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,456
Country and Rural Movement,Movimiento País y Rural,PMR,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,457
Humanist Party,Partido Humanista,PH,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,458
Salamanca–Zamora–León PREPAL,PREPAL Salamanca–Zamora–León,PREPAL,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,459
Future,Futuro,F,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,460
Together for Extremadura,Juntos por Extremadura,JUEX,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,461
